200	55	645
199	55	645
198	56	637
197	56	637
196	57	630
195	57	630
194	57	630
193	57	630
192	57	630
191	57	630
190	57	630
189	59	615
188	59	615
187	59	615
186	60	608
185	61	601
184	61	601
183	61	601
182	61	601
181	61	601
180	61	601
179	61	601
178	61	601
177	61	601
176	61	601
175	61	601
174	62	594
173	62	594
172	62	594
171	62	594
170	63	587
169	64	581
168	64	581
167	65	574
166	66	568
165	66	568
164	67	562
163	67	562
162	67	562
161	67	562
160	67	562
159	67	562
158	67	562
157	67	562
156	68	556
155	68	556
154	68	556
153	69	550
152	70	544
151	70	544
150	71	539
149	72	533
148	73	528
147	73	528
146	75	518
145	75	518
144	75	518
143	76	513
142	76	513
141	76	513
140	77	508
139	77	508
138	77	508
137	78	503
136	79	499
135	79	499
134	80	494
133	80	494
132	80	494
131	80	494
130	80	494
129	81	490
128	82	485
127	82	485
126	82	485
125	82	485
124	83	481
123	83	481
122	84	477
121	84	477
120	85	472
119	85	472
118	86	468
117	87	464
116	87	464
115	88	460
114	89	456
113	89	456
112	89	456
111	90	452
110	92	445
109	92	445
108	93	441
107	93	441
106	93	441
105	93	441
104	94	438
103	94	438
102	96	431
101	96	431
100	98	424
99	99	421
98	100	418
97	100	418
96	102	411
95	103	408
94	103	408
93	104	405
92	104	405
91	105	402
90	107	396
89	107	396
88	108	393
87	108	393
86	109	391
85	109	391
84	109	391
83	110	388
82	111	385
81	112	382
80	114	377
79	115	374
78	115	374
77	119	364
76	119	364
75	122	357
74	122	357
73	124	353
72	125	350
71	129	342
70	130	340
69	132	336
68	135	330
67	136	328
66	137	326
65	138	324
64	142	316
63	145	311
62	146	310
61	147	308
60	149	305
59	151	301
58	155	295
57	156	293
56	158	290
55	161	286
54	163	283
53	164	282
52	167	278
51	169	275
50	169	275
49	173	270
48	175	267
47	179	262
46	182	259
45	185	255
44	186	254
43	189	251
42	190	250
41	191	248
40	193	246
39	197	242
38	199	240
37	203	236
36	203	236
35	211	228
34	213	227
33	215	225
32	220	220
31	228	214
30	231	211
29	237	207
28	245	201
27	249	198
26	258	192
25	264	188
24	273	183
23	284	177
22	294	171
21	300	168
20	309	164
19	326	156
18	342	150
17	354	145
16	365	141
15	384	135
14	402	130
13	422	124
12	450	117
11	475	112
10	498	107
9	521	102
8	566	95
7	620	87
6	675	81
5	761	72
4	918	60
3	1157	48
2	1613	35
1	3534	16
