200	30	1644
199	30	1644
198	31	1597
197	31	1597
196	31	1597
195	31	1597
194	31	1597
193	31	1597
192	31	1597
191	31	1597
190	31	1597
189	31	1597
188	31	1597
187	31	1597
186	32	1553
185	32	1553
184	32	1553
183	32	1553
182	32	1553
181	32	1553
180	32	1553
179	33	1511
178	33	1511
177	33	1511
176	34	1472
175	34	1472
174	35	1435
173	35	1435
172	35	1435
171	35	1435
170	35	1435
169	35	1435
168	36	1400
167	37	1367
166	37	1367
165	37	1367
164	38	1335
163	39	1305
162	39	1305
161	39	1305
160	39	1305
159	39	1305
158	39	1305
157	39	1305
156	39	1305
155	39	1305
154	39	1305
153	39	1305
152	41	1249
151	41	1249
150	42	1222
149	42	1222
148	42	1222
147	42	1222
146	42	1222
145	42	1222
144	43	1197
143	43	1197
142	43	1197
141	43	1197
140	43	1197
139	43	1197
138	43	1197
137	43	1197
136	43	1197
135	44	1173
134	44	1173
133	45	1150
132	45	1150
131	46	1128
130	47	1107
129	48	1086
128	49	1067
127	49	1067
126	51	1030
125	51	1030
124	52	1012
123	53	996
122	55	964
121	56	949
120	56	949
119	56	949
118	57	934
117	58	920
116	58	920
115	58	920
114	58	920
113	59	906
112	59	906
111	59	906
110	59	906
109	62	868
108	62	868
107	62	868
106	62	868
105	64	844
104	64	844
103	66	821
102	66	821
101	66	821
100	66	821
99	66	821
98	67	811
97	67	811
96	68	800
95	69	790
94	70	780
93	70	780
92	72	761
91	72	761
90	72	761
89	73	752
88	74	743
87	74	743
86	75	734
85	77	717
84	77	717
83	77	717
82	78	709
81	79	701
80	81	686
79	83	671
78	85	657
77	85	657
76	86	650
75	87	644
74	91	619
73	91	619
72	91	619
71	93	607
70	93	607
69	95	595
68	98	579
67	99	574
66	101	564
65	101	564
64	103	554
63	104	550
62	105	545
61	108	531
60	108	531
59	109	527
58	110	523
57	112	515
56	115	503
55	118	491
54	120	484
53	124	470
52	125	467
51	126	463
50	127	460
49	130	451
48	132	444
47	136	433
46	141	419
45	142	416
44	145	409
43	148	401
42	150	396
41	150	396
40	156	383
39	158	378
38	161	372
37	164	366
36	169	356
35	173	349
34	178	340
33	185	328
32	190	320
31	197	310
30	202	303
29	210	293
28	217	284
27	226	274
26	228	272
25	242	257
24	250	250
23	256	245
22	261	240
21	273	231
20	279	226
19	293	216
18	303	210
17	322	198
16	328	195
15	341	188
14	366	176
13	383	169
12	415	157
11	446	147
10	474	138
9	524	126
8	579	115
7	636	105
6	718	94
5	826	82
4	986	69
3	1252	55
2	1855	38
1	3862	18
