200	124	1031
199	124	1031
198	125	1025
197	125	1025
196	125	1025
195	125	1025
194	126	1018
193	127	1012
192	127	1012
191	128	1005
190	129	999
189	130	993
188	130	993
187	130	993
186	131	987
185	131	987
184	133	974
183	133	974
182	133	974
181	135	963
180	136	957
179	137	951
178	137	951
177	137	951
176	138	946
175	138	946
174	139	940
173	139	940
172	139	940
171	139	940
170	140	935
169	141	929
168	141	929
167	141	929
166	141	929
165	141	929
164	142	924
163	142	924
162	143	918
161	143	918
160	143	918
159	143	918
158	144	913
157	145	908
156	146	903
155	146	903
154	146	903
153	148	893
152	148	893
151	149	888
150	149	888
149	149	888
148	150	883
147	150	883
146	152	873
145	154	864
144	155	859
143	155	859
142	155	859
141	155	859
140	156	854
139	156	854
138	157	850
137	158	845
136	159	841
135	159	841
134	159	841
133	159	841
132	160	836
131	160	836
130	160	836
129	161	832
128	162	828
127	164	819
126	164	819
125	165	815
124	166	811
123	166	811
122	168	802
121	171	790
120	171	790
119	172	787
118	173	783
117	173	783
116	173	783
115	174	779
114	174	779
113	175	775
112	176	771
111	176	771
110	176	771
109	176	771
108	176	771
107	178	764
106	179	760
105	181	753
104	181	753
103	184	742
102	184	742
101	186	735
100	187	732
99	189	725
98	190	722
97	190	722
96	190	722
95	190	722
94	191	719
93	191	719
92	191	719
91	191	719
90	191	719
89	195	706
88	199	693
87	200	690
86	201	687
85	201	687
84	202	684
83	203	681
82	204	678
81	207	670
80	211	659
79	214	650
78	215	648
77	216	645
76	217	642
75	218	640
74	219	637
73	221	632
72	223	627
71	226	620
70	227	617
69	229	613
68	231	608
67	233	603
66	236	596
65	238	592
64	238	592
63	242	583
62	248	570
61	251	564
60	254	558
59	257	553
58	259	549
57	259	549
56	261	545
55	261	545
54	265	538
53	265	538
52	268	532
51	269	530
50	274	522
49	275	520
48	277	516
47	283	506
46	287	500
45	288	498
44	292	492
43	295	488
42	298	483
41	301	479
40	308	469
39	311	465
38	316	458
37	318	455
36	323	449
35	334	435
34	337	432
33	347	420
32	352	414
31	359	407
30	367	399
29	373	393
28	385	381
27	389	378
26	397	371
25	409	361
24	418	353
23	430	344
22	447	332
21	455	326
20	465	320
19	477	312
18	490	304
17	507	295
16	526	285
15	551	272
14	573	262
13	600	251
12	645	234
11	672	225
10	712	213
9	756	201
8	812	188
7	885	173
6	997	154
5	1128	137
4	1333	116
3	1726	90
2	2767	57
1	7267	22
